X1,X2,X393,X394,X395
StartDate,EndDate,Q115,id,RandomID
Start Date,End Date,"Je kunt nu kiezen wat voor beloning je wil voor het deelnemen aan dit onderzoek. Je hebt de keuze tussen een VVV-cadeaukaart ter waarde van €10,- of proefpersoonpunten (1 ppu). Hieronder kun je aangeven wat je voorkeur heeft. Er verschijnt dan een pagina met uitleg over hoe je deze beloning kunt bemachtigen.",id,RandomID
2019-09-03 11:37:17,2019-09-03 12:20:45,B. Proefpersoonpunten (1 ppu),149806,92793798
2019-09-03 12:05:50,2019-09-03 13:22:23,B. Proefpersoonpunten (1 ppu),149920,63391310
2019-09-04 02:59:24,2019-09-04 04:11:07,B. Proefpersoonpunten (1 ppu),130675,16290693
2019-09-04 04:07:40,2019-09-04 05:18:06,"A. Een VVV-cadeaukaart ter waarde van €10,-",95659,36097771
2019-09-04 06:19:19,2019-09-04 07:04:40,B. Proefpersoonpunten (1 ppu),130924,67342703
2019-09-05 02:52:46,2019-09-05 03:26:16,B. Proefpersoonpunten (1 ppu),142675,84373238
2019-09-04 06:32:13,2019-09-05 05:15:36,B. Proefpersoonpunten (1 ppu),149893,64265643
2019-09-05 06:43:29,2019-09-05 08:59:55,"A. Een VVV-cadeaukaart ter waarde van €10,-",148279,10612082
2019-09-05 10:24:28,2019-09-05 11:15:04,B. Proefpersoonpunten (1 ppu),149497,78432027
2019-09-04 06:43:20,2019-09-05 13:04:34,"A. Een VVV-cadeaukaart ter waarde van €10,-",130660,87269423
2019-09-06 07:01:54,2019-09-06 07:53:12,B. Proefpersoonpunten (1 ppu),149488,17800942
2019-09-08 04:46:27,2019-09-08 05:20:02,"A. Een VVV-cadeaukaart ter waarde van €10,-",143800,73417883
 , ,"A. Een VVV-cadeaukaart ter waarde van €10,-",110752,52279502 
